Variety,pH,TA,Tartaric,Malic,Lactic,Acetic,Citric,Ortho_Fruit,Ortho_Floral,Ortho_Vegetal,IM_Fruit,IM_Floral,IM_Vegetal,,,,,
15.0411.01,3.02,16.5,4.7,12.2,0.2,0.23,0.51,2,1.333333333,3.222222222,1.444444444,0.666666667,2.444444444,,,,,
14.0324.01,3.10,11.1,5.6,7.1,0.2,0.38,0.22,1.444444444,1.222222222,1.722222222,2,1,1.444444444,,,,,
13.0207.02,3.06,11.2,5.2,7.2,0.1,0.33,0.44,2.977777778,3,0.666666667,2.888888889,2.222222222,0.888888889,,,,,
13.0206.02,2.99,11.4,6.4,7.0,0.5,0.57,0.37,2.222222222,1.777777778,1.444444444,2.444444444,1.111111111,0.777777778,,,,,
14.0305.01,3.39,10.5,2.5,NA,9.0,1.2,0.2,3,1.111111111,1.444444444,3.111111111,0.222222222,1.111111111,,,,,
Cayuga White,3.39,7.6,3.5,4.6,0.5,0.35,0.36,2.666666667,2.5,0.625,2.333333333,1.625,0.75,,,,,
10.0927.02,2.96,15.1,5.7,10.5,0.4,0.50,0.54,2.333333333,1.555555556,1.222222222,1.888888889,0.888888889,1.111111111,,,,,
10.0934.02,3.29,8.8,2.9,6.0,0.4,0.40,0.30,2.166666667,3.083333333,0.416666667,2.666666667,2.5,0.416666667,,,,,
10.0928.01,3.28,8.6,5.0,5.3,0.2,0.26,0.30,2.833333333,3.541666667,0.333333333,2.25,2.916666667,0.791666667,,,,,
13.0206.03,3.16,6.6,5.1,2.7,0.4,0.49,0.23,2.125,1.891666667,0.583333333,1.75,1.583333333,1.083333333,,,,,
15.0406.07,3.12,12.4,5.6,8.3,0.4,0.53,0.71,2.833333333,1.333333333,1.333333333,2.222222222,1.333333333,1.555555556,,,,,
16.0512.01,3.02,14.6,4.8,10.3,0.3,0.49,0.62,3,1,1.666666667,2.277777778,0.666666667,1.333333333,,,,,
